neg,neu,pos,compound
0.196,0.804,0.0,-0.8074
0.066,0.842,0.092,0.1779
0.054,0.889,0.057,-0.2023
0.0,0.814,0.186,0.1531
0.063,0.848,0.089,0.0772
0.0,0.917,0.083,0.4588
0.099,0.831,0.07,-0.024
0.035,0.826,0.139,0.4812
0.032,0.968,0.0,-0.25
0.146,0.762,0.091,-0.4767
0.143,0.775,0.083,-0.977
0.0,0.922,0.078,0.1531
0.045,0.913,0.041,-0.0366
0.082,0.89,0.028,-0.9249
0.0,0.892,0.108,0.6067
0.085,0.69,0.225,0.4767
0.0,0.928,0.072,0.7165
0.0,0.961,0.039,0.1779
0.107,0.75,0.143,0.4606
0.0,0.897,0.103,0.1531
0.087,0.651,0.262,0.9042
0.204,0.707,0.089,-0.8225
0.053,0.841,0.106,0.8047
0.302,0.698,0.0,-0.7234
0.268,0.732,0.0,-0.7783
0.078,0.857,0.065,-0.7724
0.0,0.884,0.116,0.3595
0.088,0.674,0.238,0.8152
0.062,0.938,0.0,-0.1027
0.131,0.661,0.207,0.4767
0.021,0.644,0.335,0.9908
0.0,1.0,0.0,0.0
0.227,0.639,0.134,-0.4404
0.044,0.93,0.026,-0.2732
0.067,0.933,0.0,-0.0191
0.0,0.922,0.078,0.4847
0.0,1.0,0.0,0.0
0.0,0.907,0.093,0.6956
0.088,0.81,0.102,0.1027
0.192,0.808,0.0,-0.228
0.077,0.923,0.0,-0.4767
0.079,0.833,0.088,0.0043
0.0,0.879,0.121,0.6705
0.072,0.77,0.158,0.9225
0.0,0.957,0.043,0.2732
0.0,1.0,0.0,0.0
0.076,0.924,0.0,-0.4019
0.052,0.881,0.067,0.1531
0.058,0.811,0.132,0.8316
0.0,0.899,0.101,0.5574
0.102,0.688,0.21,0.6369
0.0,1.0,0.0,0.0
0.051,0.822,0.126,0.8807
0.077,0.737,0.186,0.9602
0.185,0.659,0.156,0.1623
0.233,0.645,0.122,-0.823
0.0,0.846,0.154,0.8316
0.06,0.94,0.0,-0.1531
0.035,0.915,0.05,0.128
0.0,1.0,0.0,0.0
0.0,0.748,0.252,0.9094
0.0,0.903,0.097,0.4019
0.154,0.772,0.073,-0.6743
0.0,0.883,0.117,0.7184
0.0,0.947,0.053,0.0772
0.038,0.927,0.035,-0.0412
0.037,0.862,0.101,0.6597
0.054,0.791,0.155,0.5046
0.0,0.898,0.102,0.3612
0.207,0.718,0.075,-0.5849
0.0,1.0,0.0,0.0
0.052,0.853,0.095,0.4781
0.154,0.738,0.107,-0.1779
0.023,0.977,0.0,-0.0258
0.0,0.949,0.051,0.1531
0.0,0.913,0.087,0.4215
0.033,0.896,0.071,0.5803
0.073,0.868,0.059,-0.128
0.133,0.822,0.045,-0.4767
0.241,0.759,0.0,-0.5859
0.018,0.792,0.189,0.8728
0.169,0.802,0.029,-0.8834
0.0,0.85,0.15,0.6055
0.0,0.775,0.225,0.9263
0.164,0.788,0.048,-0.5859
0.029,0.918,0.053,0.1511
0.257,0.691,0.052,-0.8658
0.0,1.0,0.0,0.0
0.0,0.953,0.047,0.3071
0.0,0.853,0.147,0.8481
0.061,0.694,0.245,0.6562
0.064,0.919,0.017,-0.5405
0.187,0.728,0.085,-0.8066
0.112,0.791,0.097,-0.431
0.176,0.694,0.13,-0.1868
0.0,1.0,0.0,0.0
0.201,0.732,0.068,-0.7269
0.074,0.871,0.055,-0.1548
0.052,0.948,0.0,-0.2732
0.0,0.898,0.102,0.4767
0.0,0.937,0.063,0.3612
0.07,0.812,0.118,0.3612
0.061,0.872,0.067,0.0534
0.018,0.919,0.063,0.5267
0.171,0.829,0.0,-0.836
0.0,0.924,0.076,0.4515
0.333,0.667,0.0,-0.7579
0.0,0.935,0.065,0.1531
0.063,0.937,0.0,-0.541
0.0,0.795,0.205,0.7351
0.302,0.698,0.0,-0.6369
0.078,0.679,0.243,0.9481
0.095,0.761,0.145,0.5165
0.449,0.551,0.0,-0.9657
0.213,0.7,0.087,-0.4939
0.12,0.88,0.0,-0.5994
0.018,0.879,0.103,0.5551
