neg,neu,pos,compound
0.0,1.0,0.0,0.0
0.0,0.794,0.206,0.8625
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.127,0.873,0.0,-0.7003
0.0,0.925,0.075,0.3818
0.121,0.879,0.0,-0.296
0.0,0.932,0.068,0.0258
0.198,0.76,0.043,-0.9567
0.044,0.888,0.068,0.2023
0.226,0.774,0.0,-0.5423
0.0,0.753,0.247,0.5574
0.157,0.843,0.0,-0.8316
0.093,0.907,0.0,-0.5574
0.0,0.87,0.13,0.5574
0.207,0.793,0.0,-0.6908
0.11,0.89,0.0,-0.3818
0.044,0.875,0.081,0.2732
0.207,0.793,0.0,-0.872
0.0,0.769,0.231,0.5859
0.0,0.926,0.074,0.5106
0.0,0.912,0.088,0.3612
0.0,0.806,0.194,0.6981
0.0,0.909,0.091,0.5574
0.15,0.698,0.152,0.0599
0.192,0.808,0.0,-0.2263
0.0,0.847,0.153,0.4019
0.0,0.982,0.018,0.2732
0.0,0.886,0.114,0.5574
0.095,0.905,0.0,-0.25
0.141,0.707,0.152,0.0516
0.0,1.0,0.0,0.0
0.0,0.774,0.226,0.4215
0.0,1.0,0.0,0.0
0.0,0.951,0.049,0.1139
0.206,0.794,0.0,-0.3818
0.107,0.893,0.0,-0.34
0.027,0.891,0.083,0.7736
0.169,0.685,0.145,0.1027
0.207,0.715,0.078,-0.6094
0.144,0.797,0.059,-0.5106
0.073,0.927,0.0,-0.3818
0.0,0.857,0.143,0.128
0.131,0.776,0.093,-0.3182
0.121,0.879,0.0,-0.296
0.0,0.843,0.157,0.3818
0.111,0.83,0.059,-0.5972
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.824,0.176,0.4588
0.0,1.0,0.0,0.0
0.134,0.866,0.0,-0.4767
0.0,1.0,0.0,0.0
0.258,0.659,0.083,-0.6862
0.0,0.909,0.091,0.2732
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.236,0.714,0.05,-0.765
0.212,0.737,0.051,-0.7351
0.0,0.861,0.139,0.34
0.134,0.671,0.195,0.25
0.283,0.645,0.072,-0.8674
0.0,1.0,0.0,0.0
0.104,0.833,0.063,-0.5574
0.0,0.899,0.101,0.2263
0.0,1.0,0.0,0.0
0.0,0.893,0.107,0.34
0.0,1.0,0.0,0.0
0.0,0.891,0.109,0.0258
0.0,0.909,0.091,0.2263
0.114,0.65,0.236,0.3612
0.179,0.821,0.0,-0.5423
0.0,1.0,0.0,0.0
0.141,0.859,0.0,-0.5574
0.333,0.667,0.0,-0.4588
0.217,0.783,0.0,-0.5574
0.106,0.757,0.137,0.2023
0.0,0.928,0.072,0.34
0.0,0.806,0.194,0.34
0.0,1.0,0.0,0.0
0.187,0.595,0.218,-0.0516
0.045,0.702,0.252,0.7184
0.0,0.774,0.226,0.4215
0.0,0.562,0.438,0.7184
0.286,0.714,0.0,-0.7661
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.28,0.318,0.401,0.2263
0.0,0.7,0.3,0.25
0.0,0.744,0.256,0.4767
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.314,0.686,0.0,-0.4939
0.0,0.448,0.552,0.4019
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
